"ensembl_gene_id","external_gene_name","description"
"ENSMUSG00000034575","Papd7","PAP associated domain containing 7 [Source:MGI Symbol;Acc:MGI:2682295]"
"ENSMUSG00000027643","Ghrh","growth hormone releasing hormone [Source:MGI Symbol;Acc:MGI:95709]"
"ENSMUSG00000074165","Zfp788","zinc finger protein 788 [Source:MGI Symbol;Acc:MGI:1914857]"
"ENSMUSG00000064252","Olfr329-ps","olfactory receptor 329, pseudogene [Source:MGI Symbol;Acc:MGI:3030163]"
"ENSMUSG00000061544","Zfp229","zinc finger protein 229 [Source:MGI Symbol;Acc:MGI:2679295]"
"ENSMUSG00000075605","Slurp2","secreted Ly6/Plaur domain containing 2 [Source:MGI Symbol;Acc:MGI:1916712]"
"ENSMUSG00000002930","Ppp1r17","protein phosphatase 1, regulatory subunit 17 [Source:MGI Symbol;Acc:MGI:1333876]"
"ENSMUSG00000091497","Gm44","predicted gene 44 [Source:MGI Symbol;Acc:MGI:2684890]"
"ENSMUSG00000045725","Prr15","proline rich 15 [Source:MGI Symbol;Acc:MGI:1925254]"
"ENSMUSG00000045294","Insig1","insulin induced gene 1 [Source:MGI Symbol;Acc:MGI:1916289]"
"ENSMUSG00000029161","Cgref1","cell growth regulator with EF hand domain 1 [Source:MGI Symbol;Acc:MGI:1915817]"
"ENSMUSG00000022526","Zfp251","zinc finger protein 251 [Source:MGI Symbol;Acc:MGI:1918841]"
"ENSMUSG00000024560","Cxxc1","CXXC finger 1 (PHD domain) [Source:MGI Symbol;Acc:MGI:1921572]"
"ENSMUSG00000031637","Lrp2bp","Lrp2 binding protein [Source:MGI Symbol;Acc:MGI:1914870]"
"ENSMUSG00000029385","Ccng2","cyclin G2 [Source:MGI Symbol;Acc:MGI:1095734]"
"ENSMUSG00000040775","Gm9772","predicted gene 9772 [Source:MGI Symbol;Acc:MGI:3641789]"
"ENSMUSG00000035932","Olfr750","olfactory receptor 750 [Source:MGI Symbol;Acc:MGI:3030584]"
"ENSMUSG00000031969","Acad8","acyl-Coenzyme A dehydrogenase family, member 8 [Source:MGI Symbol;Acc:MGI:1914198]"
"ENSMUSG00000032057","4833427G06Rik","RIKEN cDNA 4833427G06 gene [Source:MGI Symbol;Acc:MGI:1921013]"
"ENSMUSG00000091405","Hist2h4","histone cluster 2, H4 [Source:MGI Symbol;Acc:MGI:2140113]"
"ENSMUSG00000026674","Ddr2","discoidin domain receptor family, member 2 [Source:MGI Symbol;Acc:MGI:1345277]"
"ENSMUSG00000020218","Wif1","Wnt inhibitory factor 1 [Source:MGI Symbol;Acc:MGI:1344332]"
"ENSMUSG00000026989","Dapl1","death associated protein-like 1 [Source:MGI Symbol;Acc:MGI:1923997]"
"ENSMUSG00000052595","A1cf","APOBEC1 complementation factor [Source:MGI Symbol;Acc:MGI:1917115]"
"ENSMUSG00000006014","Prg4","proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein) [Source:MGI Symbol;Acc:MGI:1891344]"
"ENSMUSG00000023274","Cd4","CD4 antigen [Source:MGI Symbol;Acc:MGI:88335]"
"ENSMUSG00000025139","Tollip","toll interacting protein [Source:MGI Symbol;Acc:MGI:1891808]"
"ENSMUSG00000020268","Lyrm7","LYR motif containing 7 [Source:MGI Symbol;Acc:MGI:1922780]"
"ENSMUSG00000021772","Nkiras1","NFKB inhibitor interacting Ras-like protein 1 [Source:MGI Symbol;Acc:MGI:1916971]"
"ENSMUSG00000040505","Abcg5","ATP-binding cassette, sub-family G (WHITE), member 5 [Source:MGI Symbol;Acc:MGI:1351659]"
"ENSMUSG00000015747","Vps45","vacuolar protein sorting 45 [Source:MGI Symbol;Acc:MGI:891965]"
"ENSMUSG00000017679","Ttpal","tocopherol (alpha) transfer protein-like [Source:MGI Symbol;Acc:MGI:1923330]"
"ENSMUSG00000037362","Nov","nephroblastoma overexpressed gene [Source:MGI Symbol;Acc:MGI:109185]"
"ENSMUSG00000031245","Hmgn5","high-mobility group nucleosome binding domain 5 [Source:MGI Symbol;Acc:MGI:1355295]"
"ENSMUSG00000071716","",""
"ENSMUSG00000068252","",""
"ENSMUSG00000031847","1700030J22Rik","RIKEN cDNA 1700030J22 gene [Source:MGI Symbol;Acc:MGI:1916778]"
"ENSMUSG00000066036","Ubr4","ubiquitin protein ligase E3 component n-recognin 4 [Source:MGI Symbol;Acc:MGI:1916366]"
"ENSMUSG00000094928","1700122O11Rik","RIKEN cDNA 1700122O11 gene [Source:MGI Symbol;Acc:MGI:1923901]"
"ENSMUSG00000073094","Smim9","small integral membrane protein 9 [Source:MGI Symbol;Acc:MGI:3588243]"
"ENSMUSG00000022179","4931414P19Rik","RIKEN cDNA 4931414P19 gene [Source:MGI Symbol;Acc:MGI:1921609]"
"ENSMUSG00000032264","Zw10","zw10 kinetochore protein [Source:MGI Symbol;Acc:MGI:1349478]"
"ENSMUSG00000053790","Defb38","defensin beta 38 [Source:MGI Symbol;Acc:MGI:2672972]"
"ENSMUSG00000062987","",""
"ENSMUSG00000031788","Kifc3","kinesin family member C3 [Source:MGI Symbol;Acc:MGI:109202]"
"ENSMUSG00000032718","Mansc1","MANSC domain containing 1 [Source:MGI Symbol;Acc:MGI:1914979]"
"ENSMUSG00000052673","Gm9887","predicted gene 9887 [Source:MGI Symbol;Acc:MGI:3642578]"
"ENSMUSG00000045211","Nudt18","nudix (nucleoside diphosphate linked moiety X)-type motif 18 [Source:MGI Symbol;Acc:MGI:2385853]"
"ENSMUSG00000039205","Ciz1","CDKN1A interacting zinc finger protein 1 [Source:MGI Symbol;Acc:MGI:1920234]"
"ENSMUSG00000042105","Inpp5f","inositol polyphosphate-5-phosphatase F [Source:MGI Symbol;Acc:MGI:2141867]"
"ENSMUSG00000044934","Zfp367","zinc finger protein 367 [Source:MGI Symbol;Acc:MGI:2442266]"
"ENSMUSG00000020818","Mfsd11","major facilitator superfamily domain containing 11 [Source:MGI Symbol;Acc:MGI:1917150]"
"ENSMUSG00000022012","Enox1","ecto-NOX disulfide-thiol exchanger 1 [Source:MGI Symbol;Acc:MGI:2444896]"
"ENSMUSG00000026596","Abl2","v-abl Abelson murine leukemia viral oncogene 2 (arg, Abelson-related gene) [Source:MGI Symbol;Acc:MGI:87860]"
"ENSMUSG00000054702","",""
"ENSMUSG00000038984","Tspyl5","testis-specific protein, Y-encoded-like 5 [Source:MGI Symbol;Acc:MGI:2442458]"
"ENSMUSG00000019256","Ahr","aryl-hydrocarbon receptor [Source:MGI Symbol;Acc:MGI:105043]"
"ENSMUSG00000079460","4933403O08Rik","RIKEN cDNA 4933403O08 gene [Source:MGI Symbol;Acc:MGI:1918280]"
"ENSMUSG00000058568","Defb50","defensin beta 50 [Source:MGI Symbol;Acc:MGI:3055870]"
"ENSMUSG00000044923","Olfr1030","olfactory receptor 1030 [Source:MGI Symbol;Acc:MGI:3030864]"
"ENSMUSG00000001930","Vwf","Von Willebrand factor [Source:MGI Symbol;Acc:MGI:98941]"
"ENSMUSG00000046774","8030474K03Rik","RIKEN cDNA 8030474K03 gene [Source:MGI Symbol;Acc:MGI:2685988]"
"ENSMUSG00000055912","Tmem150a","transmembrane protein 150A [Source:MGI Symbol;Acc:MGI:2385244]"
"ENSMUSG00000019936","Epyc","epiphycan [Source:MGI Symbol;Acc:MGI:107942]"
"ENSMUSG00000025127","Gcgr","glucagon receptor [Source:MGI Symbol;Acc:MGI:99572]"
"ENSMUSG00000079330","Lemd1","LEM domain containing 1 [Source:MGI Symbol;Acc:MGI:1922403]"
"ENSMUSG00000029375","Cxcl15","chemokine (C-X-C motif) ligand 15 [Source:MGI Symbol;Acc:MGI:1339941]"
"ENSMUSG00000018126","Baiap2l2","BAI1-associated protein 2-like 2 [Source:MGI Symbol;Acc:MGI:2652819]"
"ENSMUSG00000019951","Uhrf1bp1l","UHRF1 (ICBP90) binding protein 1-like [Source:MGI Symbol;Acc:MGI:2442888]"
"ENSMUSG00000022263","Trio","triple functional domain (PTPRF interacting) [Source:MGI Symbol;Acc:MGI:1927230]"
"ENSMUSG00000027959","Sass6","SAS-6 centriolar assembly protein [Source:MGI Symbol;Acc:MGI:1920026]"
"ENSMUSG00000095413","Gm14484","predicted gene 14484 [Source:MGI Symbol;Acc:MGI:3649617]"
"ENSMUSG00000055435","Maf","avian musculoaponeurotic fibrosarcoma oncogene homolog [Source:MGI Symbol;Acc:MGI:96909]"
"ENSMUSG00000078652","Psme3","proteaseome (prosome, macropain) activator subunit 3 (PA28 gamma, Ki) [Source:MGI Symbol;Acc:MGI:1096366]"
"ENSMUSG00000073794","I0C0044D17Rik","RIKEN cDNA I0C0044D17 gene [Source:MGI Symbol;Acc:MGI:3588230]"
"ENSMUSG00000086598","",""
"ENSMUSG00000006728","Cdk4","cyclin-dependent kinase 4 [Source:MGI Symbol;Acc:MGI:88357]"
"ENSMUSG00000047992","Fam69c","family with sequence similarity 69, member C [Source:MGI Symbol;Acc:MGI:3041188]"
"ENSMUSG00000001348","Acp5","acid phosphatase 5, tartrate resistant [Source:MGI Symbol;Acc:MGI:87883]"
"ENSMUSG00000055976","Cldn23","claudin 23 [Source:MGI Symbol;Acc:MGI:1919158]"
"ENSMUSG00000055239","Kcmf1","potassium channel modulatory factor 1 [Source:MGI Symbol;Acc:MGI:1921537]"
"ENSMUSG00000020986","Sec23a","SEC23 homolog A, COPII coat complex component [Source:MGI Symbol;Acc:MGI:1349635]"
"ENSMUSG00000074361","C5ar2","complement component 5a receptor 2 [Source:MGI Symbol;Acc:MGI:2442013]"
"ENSMUSG00000056822","",""
"ENSMUSG00000110259","Olfr65","olfactory receptor 65 [Source:MGI Symbol;Acc:MGI:1341910]"
"ENSMUSG00000006676","Usp19","ubiquitin specific peptidase 19 [Source:MGI Symbol;Acc:MGI:1918722]"
"ENSMUSG00000054611","Kdm2a","lysine (K)-specific demethylase 2A [Source:MGI Symbol;Acc:MGI:1354736]"
"ENSMUSG00000038608","Dock10","dedicator of cytokinesis 10 [Source:MGI Symbol;Acc:MGI:2146320]"
"ENSMUSG00000096257","Ccer2","coiled-coil glutamate-rich protein 2 [Source:MGI Symbol;Acc:MGI:3645242]"
"ENSMUSG00000051036","Ttc24","tetratricopeptide repeat domain 24 [Source:MGI Symbol;Acc:MGI:2443841]"
"ENSMUSG00000070530","Wfdc16","WAP four-disulfide core domain 16 [Source:MGI Symbol;Acc:MGI:2670994]"
"ENSMUSG00000027792","Bche","butyrylcholinesterase [Source:MGI Symbol;Acc:MGI:894278]"
"ENSMUSG00000052142","Rasal3","RAS protein activator like 3 [Source:MGI Symbol;Acc:MGI:2444128]"
"ENSMUSG00000039106","Htr5a","5-hydroxytryptamine (serotonin) receptor 5A [Source:MGI Symbol;Acc:MGI:96283]"
"ENSMUSG00000028936","Rpl22","ribosomal protein L22 [Source:MGI Symbol;Acc:MGI:99262]"
"ENSMUSG00000052534","Pbx1","pre B cell leukemia homeobox 1 [Source:MGI Symbol;Acc:MGI:97495]"
"ENSMUSG00000002769","Gnmt","glycine N-methyltransferase [Source:MGI Symbol;Acc:MGI:1202304]"
"ENSMUSG00000078994","",""
"ENSMUSG00000075307","Klhl41","kelch-like 41 [Source:MGI Symbol;Acc:MGI:2683854]"
"ENSMUSG00000046088","Gm9805","predicted gene 9805 [Source:MGI Symbol;Acc:MGI:3642566]"
"ENSMUSG00000074681","Defb23","defensin beta 23 [Source:MGI Symbol;Acc:MGI:3644405]"
"ENSMUSG00000021266","Wars","tryptophanyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:104630]"
"ENSMUSG00000072487","Mroh5","maestro heat-like repeat family member 5 [Source:MGI Symbol;Acc:MGI:2685474]"
"ENSMUSG00000032942","Ucp3","uncoupling protein 3 (mitochondrial, proton carrier) [Source:MGI Symbol;Acc:MGI:1099787]"
"ENSMUSG00000005716","Pvalb","parvalbumin [Source:MGI Symbol;Acc:MGI:97821]"
"ENSMUSG00000074996","",""
"ENSMUSG00000041406","BC055324","cDNA sequence BC055324 [Source:MGI Symbol;Acc:MGI:3590554]"
"ENSMUSG00000001018","Snapin","SNAP-associated protein [Source:MGI Symbol;Acc:MGI:1333745]"
"ENSMUSG00000013936","Myl2","myosin, light polypeptide 2, regulatory, cardiac, slow [Source:MGI Symbol;Acc:MGI:97272]"
"ENSMUSG00000037451","Slc22a20","solute carrier family 22 (organic anion transporter), member 20 [Source:MGI Symbol;Acc:MGI:2685809]"
"ENSMUSG00000063780","Olfr282","olfactory receptor 282 [Source:MGI Symbol;Acc:MGI:3030116]"
"ENSMUSG00000015001","Oc90","otoconin 90 [Source:MGI Symbol;Acc:MGI:1313269]"
"ENSMUSG00000013653","1810065E05Rik","RIKEN cDNA 1810065E05 gene [Source:MGI Symbol;Acc:MGI:1917114]"
"ENSMUSG00000037608","Bclaf1","BCL2-associated transcription factor 1 [Source:MGI Symbol;Acc:MGI:1917580]"
"ENSMUSG00000078753","Scgb1b24","secretoglobin, family 1B, member 24 [Source:MGI Symbol;Acc:MGI:3649643]"
"ENSMUSG00000000301","Pemt","phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535]"
"ENSMUSG00000027612","Mmp24","matrix metallopeptidase 24 [Source:MGI Symbol;Acc:MGI:1341867]"
"ENSMUSG00000005580","Adcy9","adenylate cyclase 9 [Source:MGI Symbol;Acc:MGI:108450]"
"ENSMUSG00000057835","Zfp119a","zinc finger protein 119a [Source:MGI Symbol;Acc:MGI:1345189]"
"ENSMUSG00000025487","Psmd13","proteasome (prosome, macropain) 26S subunit, non-ATPase, 13 [Source:MGI Symbol;Acc:MGI:1345192]"
"ENSMUSG00000028648","Ndufs5","NADH dehydrogenase (ubiquinone) Fe-S protein 5 [Source:MGI Symbol;Acc:MGI:1890889]"
"ENSMUSG00000047894","Ang2","angiogenin, ribonuclease A family, member 2 [Source:MGI Symbol;Acc:MGI:104984]"
"ENSMUSG00000030468","Siglecg","sialic acid binding Ig-like lectin G [Source:MGI Symbol;Acc:MGI:2443630]"
"ENSMUSG00000031150","Ccdc120","coiled-coil domain containing 120 [Source:MGI Symbol;Acc:MGI:1859619]"
"ENSMUSG00000030862","Cpxm2","carboxypeptidase X 2 (M14 family) [Source:MGI Symbol;Acc:MGI:1926006]"
"ENSMUSG00000001507","Itga3","integrin alpha 3 [Source:MGI Symbol;Acc:MGI:96602]"
"ENSMUSG00000071493","Vmn1r208","vomeronasal 1 receptor 208 [Source:MGI Symbol;Acc:MGI:2159668]"
"ENSMUSG00000029019","Nppb","natriuretic peptide type B [Source:MGI Symbol;Acc:MGI:97368]"
"ENSMUSG00000022353","Mtss1","metastasis suppressor 1 [Source:MGI Symbol;Acc:MGI:2384818]"
"ENSMUSG00000034472","Rasd2","RASD family, member 2 [Source:MGI Symbol;Acc:MGI:1922391]"
"ENSMUSG00000039178","Tbc1d19","TBC1 domain family, member 19 [Source:MGI Symbol;Acc:MGI:1914499]"
"ENSMUSG00000073795","6430531B16Rik","RIKEN cDNA 6430531B16 gene [Source:MGI Symbol;Acc:MGI:2685939]"
"ENSMUSG00000001794","Capns1","calpain, small subunit 1 [Source:MGI Symbol;Acc:MGI:88266]"
"ENSMUSG00000100626","Gm14483","predicted gene 14483 [Source:MGI Symbol;Acc:MGI:3714114]"
"ENSMUSG00000029352","Crybb3","crystallin, beta B3 [Source:MGI Symbol;Acc:MGI:102717]"
"ENSMUSG00000053519","Kcnip1","Kv channel-interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917607]"
"ENSMUSG00000026254","Eif4e2","eukaryotic translation initiation factor 4E member 2 [Source:MGI Symbol;Acc:MGI:1914440]"
"ENSMUSG00000095234","",""
"ENSMUSG00000003469","Phyhip","phytanoyl-CoA hydroxylase interacting protein [Source:MGI Symbol;Acc:MGI:1860417]"
"ENSMUSG00000061195","Olfr1289","olfactory receptor 1289 [Source:MGI Symbol;Acc:MGI:3031123]"
"ENSMUSG00000005373","Mlxipl","MLX interacting protein-like [Source:MGI Symbol;Acc:MGI:1927999]"
"ENSMUSG00000017307","Acot8","acyl-CoA thioesterase 8 [Source:MGI Symbol;Acc:MGI:2158201]"
"ENSMUSG00000028792","Ak2","adenylate kinase 2 [Source:MGI Symbol;Acc:MGI:87978]"
"ENSMUSG00000045288","Ush1g","Usher syndrome 1G [Source:MGI Symbol;Acc:MGI:2450757]"
"ENSMUSG00000001995","Sipa1l2","signal-induced proliferation-associated 1 like 2 [Source:MGI Symbol;Acc:MGI:2676970]"
"ENSMUSG00000052214","Opa3","optic atrophy 3 [Source:MGI Symbol;Acc:MGI:2686271]"
"ENSMUSG00000072949","Acot1","acyl-CoA thioesterase 1 [Source:MGI Symbol;Acc:MGI:1349396]"
"ENSMUSG00000038005","Hpf1","histone PARylation factor 1 [Source:MGI Symbol;Acc:MGI:1919862]"
"ENSMUSG00000062604","Srpk2","serine/arginine-rich protein specific kinase 2 [Source:MGI Symbol;Acc:MGI:1201408]"
"ENSMUSG00000043165","Lor","loricrin [Source:MGI Symbol;Acc:MGI:96816]"
"ENSMUSG00000036693","Nop14","NOP14 nucleolar protein [Source:MGI Symbol;Acc:MGI:1922666]"
"ENSMUSG00000038760","Trhr","thyrotropin releasing hormone receptor [Source:MGI Symbol;Acc:MGI:98824]"
"ENSMUSG00000035860","Cdhr3","cadherin-related family member 3 [Source:MGI Symbol;Acc:MGI:1916014]"
"ENSMUSG00000020317","Theg","testicular haploid expressed gene [Source:MGI Symbol;Acc:MGI:1338756]"
"ENSMUSG00000051592","Ccnb3","cyclin B3 [Source:MGI Symbol;Acc:MGI:2183443]"
"ENSMUSG00000044359","P2ry4","pyrimidinergic receptor P2Y, G-protein coupled, 4 [Source:MGI Symbol;Acc:MGI:1926594]"
"ENSMUSG00000050323","Ndufaf6","NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 [Source:MGI Symbol;Acc:MGI:1924197]"
"ENSMUSG00000021038","Vipas39","VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog [Source:MGI Symbol;Acc:MGI:2144805]"
"ENSMUSG00000054364","Rhob","ras homolog family member B [Source:MGI Symbol;Acc:MGI:107949]"
"ENSMUSG00000004031","Brinp2","bone morphogenic protein/retinoic acid inducible neural-specific 2 [Source:MGI Symbol;Acc:MGI:2443333]"
"ENSMUSG00000022309","Angpt1","angiopoietin 1 [Source:MGI Symbol;Acc:MGI:108448]"
"ENSMUSG00000061718","Ppp1r1b","protein phosphatase 1, regulatory (inhibitor) subunit 1B [Source:MGI Symbol;Acc:MGI:94860]"
"ENSMUSG00000006021","Kptn","kaptin [Source:MGI Symbol;Acc:MGI:1890380]"
"ENSMUSG00000022886","Prl2a1","prolactin family 2, subfamily a, member 1 [Source:MGI Symbol;Acc:MGI:1861446]"
"ENSMUSG00000046006","Gapt","Grb2-binding adaptor, transmembrane [Source:MGI Symbol;Acc:MGI:3608341]"
"ENSMUSG00000003813","Rad23a","RAD23 homolog A, nucleotide excision repair protein [Source:MGI Symbol;Acc:MGI:105126]"
"ENSMUSG00000026856","Dolpp1","dolichyl pyrophosphate phosphatase 1 [Source:MGI Symbol;Acc:MGI:1914093]"
"ENSMUSG00000047878","A4galt","alpha 1,4-galactosyltransferase [Source:MGI Symbol;Acc:MGI:3512453]"
"ENSMUSG00000020577","Tspan13","tetraspanin 13 [Source:MGI Symbol;Acc:MGI:1913359]"
"ENSMUSG00000094504","Gm5294","predicted gene 5294 [Source:MGI Symbol;Acc:MGI:3646467]"
"ENSMUSG00000034681","Rnps1","ribonucleic acid binding protein S1 [Source:MGI Symbol;Acc:MGI:97960]"
"ENSMUSG00000033342","Plppr5","phospholipid phosphatase related 5 [Source:MGI Symbol;Acc:MGI:1923019]"
"ENSMUSG00000026004","Kansl1l","KAT8 regulatory NSL complex subunit 1-like [Source:MGI Symbol;Acc:MGI:1915941]"
"ENSMUSG00000022387","Brd1","bromodomain containing 1 [Source:MGI Symbol;Acc:MGI:1924161]"
"ENSMUSG00000069588","Gm11733","predicted gene 11733 [Source:MGI Symbol;Acc:MGI:3650737]"
"ENSMUSG00000034083","Ccdc174","coiled-coil domain containing 174 [Source:MGI Symbol;Acc:MGI:2444652]"
"ENSMUSG00000036422","Pcdh8","protocadherin 8 [Source:MGI Symbol;Acc:MGI:1306800]"
"ENSMUSG00000029253","Cenpc1","centromere protein C1 [Source:MGI Symbol;Acc:MGI:99700]"
"ENSMUSG00000024335","Brd2","bromodomain containing 2 [Source:MGI Symbol;Acc:MGI:99495]"
"ENSMUSG00000005364","Il5ra","interleukin 5 receptor, alpha [Source:MGI Symbol;Acc:MGI:96558]"
"ENSMUSG00000043822","Adamtsl5","ADAMTS-like 5 [Source:MGI Symbol;Acc:MGI:1913798]"
"ENSMUSG00000034634","Ly6d","lymphocyte antigen 6 complex, locus D [Source:MGI Symbol;Acc:MGI:96881]"
"ENSMUSG00000021866","Anxa11","annexin A11 [Source:MGI Symbol;Acc:MGI:108481]"
"ENSMUSG00000022781","Pak2","p21 protein (Cdc42/Rac)-activated kinase 2 [Source:MGI Symbol;Acc:MGI:1339984]"
"ENSMUSG00000073898","Olfr713","olfactory receptor 713 [Source:MGI Symbol;Acc:MGI:3030547]"
"ENSMUSG00000020492","Ska2","spindle and kinetochore associated complex subunit 2 [Source:MGI Symbol;Acc:MGI:1913390]"
"ENSMUSG00000055789","E330017A01Rik","RIKEN cDNA E330017A01 gene [Source:MGI Symbol;Acc:MGI:3045360]"
"ENSMUSG00000006398","Cdc20","cell division cycle 20 [Source:MGI Symbol;Acc:MGI:1859866]"
"ENSMUSG00000026542","Apcs","serum amyloid P-component [Source:MGI Symbol;Acc:MGI:98229]"
"ENSMUSG00000050390","C77080","expressed sequence C77080 [Source:MGI Symbol;Acc:MGI:2140651]"
"ENSMUSG00000022840","Adcy5","adenylate cyclase 5 [Source:MGI Symbol;Acc:MGI:99673]"
"ENSMUSG00000006127","Inpp5k","inositol polyphosphate 5-phosphatase K [Source:MGI Symbol;Acc:MGI:1194899]"
"ENSMUSG00000030966","Trim21","tripartite motif-containing 21 [Source:MGI Symbol;Acc:MGI:106657]"
"ENSMUSG00000044976","Wdr72","WD repeat domain 72 [Source:MGI Symbol;Acc:MGI:3583957]"
"ENSMUSG00000051593","Olfr272","olfactory receptor 272 [Source:MGI Symbol;Acc:MGI:3030106]"
"ENSMUSG00000031932","Gpr83","G protein-coupled receptor 83 [Source:MGI Symbol;Acc:MGI:95712]"
"ENSMUSG00000058420","Syt17","synaptotagmin XVII [Source:MGI Symbol;Acc:MGI:104966]"
"ENSMUSG00000050315","Synpo2","synaptopodin 2 [Source:MGI Symbol;Acc:MGI:2153070]"
"ENSMUSG00000028053","Ash1l","ash1 (absent, small, or homeotic)-like (Drosophila) [Source:MGI Symbol;Acc:MGI:2183158]"
"ENSMUSG00000026491","Ahctf1","AT hook containing transcription factor 1 [Source:MGI Symbol;Acc:MGI:1915033]"
"ENSMUSG00000021604","Irx4","Iroquois related homeobox 4 (Drosophila) [Source:MGI Symbol;Acc:MGI:1355275]"
"ENSMUSG00000037712","Fermt2","fermitin family member 2 [Source:MGI Symbol;Acc:MGI:2385001]"
"ENSMUSG00000098905","Zfp953","zinc finger protein 953 [Source:MGI Symbol;Acc:MGI:3612873]"
"ENSMUSG00000041020","Map7d2","MAP7 domain containing 2 [Source:MGI Symbol;Acc:MGI:1917474]"
"ENSMUSG00000015829","Tnr","tenascin R [Source:MGI Symbol;Acc:MGI:99516]"
"ENSMUSG00000027790","Sis","sucrase isomaltase (alpha-glucosidase) [Source:MGI Symbol;Acc:MGI:1917233]"
"ENSMUSG00000022668","Gtpbp8","GTP-binding protein 8 (putative) [Source:MGI Symbol;Acc:MGI:1913317]"
"ENSMUSG00000043587","Pxylp1","2-phosphoxylose phosphatase 1 [Source:MGI Symbol;Acc:MGI:2442444]"
"ENSMUSG00000051223","Bzw1","basic leucine zipper and W2 domains 1 [Source:MGI Symbol;Acc:MGI:1914132]"
"ENSMUSG00000071856","Mcc","mutated in colorectal cancers [Source:MGI Symbol;Acc:MGI:96930]"
"ENSMUSG00000039492","Ccdc27","coiled-coil domain containing 27 [Source:MGI Symbol;Acc:MGI:2685881]"
"ENSMUSG00000041984","Rptn","repetin [Source:MGI Symbol;Acc:MGI:1099055]"
"ENSMUSG00000029419","Gm996","predicted gene 996 [Source:MGI Symbol;Acc:MGI:2685842]"
"ENSMUSG00000027961","Lrrc39","leucine rich repeat containing 39 [Source:MGI Symbol;Acc:MGI:1924557]"
"ENSMUSG00000034278","Dnajc17","DnaJ heat shock protein family (Hsp40) member C17 [Source:MGI Symbol;Acc:MGI:1916658]"
"ENSMUSG00000026866","Kynu","kynureninase (L-kynurenine hydrolase) [Source:MGI Symbol;Acc:MGI:1918039]"
"ENSMUSG00000060802","B2m","beta-2 microglobulin [Source:MGI Symbol;Acc:MGI:88127]"
"ENSMUSG00000061887","Ssbp3","single-stranded DNA binding protein 3 [Source:MGI Symbol;Acc:MGI:1919725]"
"ENSMUSG00000095098","Ccdc85b","coiled-coil domain containing 85B [Source:MGI Symbol;Acc:MGI:2147607]"
"ENSMUSG00000041684","",""
"ENSMUSG00000034973","Dopey1","dopey family member 1 [Source:MGI Symbol;Acc:MGI:1289294]"
